X,Y,ID,REG,SREG,GID
23.75,70.75,27768,7,61,I0027768
24.75,70.75,27770,7,54,I0027770
27.25,70.75,27775,7,54,I0027775
29.25,70.75,27779,7,61,I0027779
29.75,70.75,27780,7,54,I0027780
21.75,70.25,28484,7,54,I0028484
22.25,70.25,28485,7,54,I0028485
23.25,70.25,28487,7,54,I0028487
23.75,70.25,28488,7,54,I0028488
24.25,70.25,28489,7,54,I0028489
24.75,70.25,28490,7,54,I0028490
25.25,70.25,28491,7,54,I0028491
25.75,70.25,28492,7,54,I0028492
27.25,70.25,28495,7,54,I0028495
27.75,70.25,28496,7,54,I0028496
28.25,70.25,28497,7,54,I0028497
29.25,70.25,28499,7,54,I0028499
29.75,70.25,28500,7,54,I0028500
18.25,69.75,29197,7,54,I0029197
18.75,69.75,29198,7,54,I0029198
19.25,69.75,29199,7,54,I0029199
19.75,69.75,29200,7,54,I0029200
20.25,69.75,29201,7,54,I0029201
20.75,69.75,29202,7,54,I0029202
21.25,69.75,29203,7,54,I0029203
21.75,69.75,29204,7,54,I0029204
22.25,69.75,29205,7,54,I0029205
22.75,69.75,29206,7,54,I0029206
23.25,69.75,29207,7,54,I0029207
23.75,69.75,29208,7,54,I0029208
25.75,69.75,29212,7,54,I0029212
26.25,69.75,29213,7,54,I0029213
27.25,69.75,29215,7,54,I0029215
29.25,69.75,29219,7,54,I0029219
29.75,69.75,29220,7,54,I0029220
30.25,69.75,29221,7,54,I0029221
30.75,69.75,29222,1,29,I0029222
16.75,69.25,29914,7,54,I0029914
17.75,69.25,29916,7,54,I0029916
18.25,69.25,29917,7,54,I0029917
18.75,69.25,29918,7,54,I0029918
19.25,69.25,29919,7,54,I0029919
19.75,69.25,29920,7,54,I0029920
20.25,69.25,29921,7,54,I0029921
20.75,69.25,29922,7,54,I0029922
21.25,69.25,29923,7,54,I0029923
23.25,69.25,29927,7,54,I0029927
23.75,69.25,29928,7,54,I0029928
24.75,69.25,29930,7,54,I0029930
25.25,69.25,29931,7,54,I0029931
25.75,69.25,29932,7,54,I0029932
29.25,69.25,29939,1,29,I0029939
29.75,69.25,29940,1,29,I0029940
30.25,69.25,29941,1,30,I0029941
30.75,69.25,29942,1,30,I0029942
31.25,69.25,29943,1,30,I0029943
32.75,69.25,29946,1,30,I0029946
33.25,69.25,29947,1,30,I0029947
34.25,69.25,29949,1,30,I0029949
14.25,68.75,30629,7,54,I0030629
14.75,68.75,30630,7,54,I0030630
15.75,68.75,30632,7,54,I0030632
16.25,68.75,30633,7,54,I0030633
16.75,68.75,30634,7,54,I0030634
17.25,68.75,30635,7,54,I0030635
17.75,68.75,30636,7,54,I0030636
18.25,68.75,30637,7,54,I0030637
18.75,68.75,30638,7,54,I0030638
19.25,68.75,30639,7,54,I0030639
19.75,68.75,30640,7,54,I0030640
22.75,68.75,30646,7,54,I0030646
23.25,68.75,30647,7,54,I0030647
28.75,68.75,30658,1,30,I0030658
29.25,68.75,30659,1,30,I0030659
29.75,68.75,30660,1,30,I0030660
30.25,68.75,30661,1,30,I0030661
30.75,68.75,30662,1,30,I0030662
31.25,68.75,30663,1,30,I0030663
31.75,68.75,30664,1,30,I0030664
32.25,68.75,30665,1,30,I0030665
32.75,68.75,30666,1,30,I0030666
33.25,68.75,30667,1,30,I0030667
15.75,68.25,31352,7,54,I0031352
16.25,68.25,31353,7,54,I0031353
16.75,68.25,31354,7,54,I0031354
17.25,68.25,31355,7,54,I0031355
17.75,68.25,31356,7,54,I0031356
23.25,68.25,31367,7,60,I0031367
29.25,68.25,31379,1,30,I0031379
29.75,68.25,31380,1,30,I0031380
30.25,68.25,31381,1,30,I0031381
30.75,68.25,31382,1,30,I0031382
31.25,68.25,31383,1,30,I0031383
31.75,68.25,31384,1,30,I0031384
32.25,68.25,31385,1,30,I0031385
33.75,68.25,31388,1,30,I0031388
35.25,68.25,31391,1,30,I0031391
36.25,68.25,31393,1,30,I0031393
15.25,67.75,32071,7,54,I0032071
15.75,67.75,32072,7,54,I0032072
16.25,67.75,32073,7,54,I0032073
23.25,67.75,32087,7,60,I0032087
23.75,67.75,32088,7,43,I0032088
24.75,67.75,32090,7,43,I0032090
25.25,67.75,32091,7,43,I0032091
25.75,67.75,32092,7,43,I0032092
26.75,67.75,32094,7,43,I0032094
29.75,67.75,32100,1,30,I0032100
30.25,67.75,32101,1,30,I0032101
30.75,67.75,32102,1,30,I0032102
31.25,67.75,32103,1,30,I0032103
31.75,67.75,32104,1,30,I0032104
32.25,67.75,32105,1,30,I0032105
32.75,67.75,32106,1,30,I0032106
33.25,67.75,32107,1,30,I0032107
33.75,67.75,32108,1,30,I0032108
34.25,67.75,32109,1,30,I0032109
34.75,67.75,32110,1,30,I0032110
36.25,67.75,32113,1,30,I0032113
14.25,67.25,32789,7,54,I0032789
14.75,67.25,32790,7,54,I0032790
15.25,67.25,32791,7,54,I0032791
15.75,67.25,32792,7,54,I0032792
22.25,67.25,32805,7,60,I0032805
22.75,67.25,32806,7,60,I0032806
23.25,67.25,32807,7,60,I0032807
23.75,67.25,32808,7,43,I0032808
24.25,67.25,32809,7,43,I0032809
24.75,67.25,32810,7,43,I0032810
25.25,67.25,32811,7,43,I0032811
25.75,67.25,32812,7,43,I0032812
26.25,67.25,32813,7,43,I0032813
26.75,67.25,32814,7,43,I0032814
27.25,67.25,32815,7,43,I0032815
27.75,67.25,32816,7,43,I0032816
28.75,67.25,32818,7,43,I0032818
29.75,67.25,32820,1,30,I0032820
30.25,67.25,32821,1,30,I0032821
30.75,67.25,32822,1,30,I0032822
31.25,67.25,32823,1,30,I0032823
31.75,67.25,32824,1,30,I0032824
32.25,67.25,32825,1,30,I0032825
32.75,67.25,32826,1,30,I0032826
33.25,67.25,32827,1,30,I0032827
33.75,67.25,32828,1,30,I0032828
34.25,67.25,32829,1,30,I0032829
34.75,67.25,32830,1,30,I0032830
35.75,67.25,32832,1,30,I0032832
36.75,67.25,32834,1,30,I0032834
37.75,67.25,32836,1,30,I0032836
13.25,66.75,33507,7,54,I0033507
13.75,66.75,33508,7,54,I0033508
14.25,66.75,33509,7,54,I0033509
14.75,66.75,33510,7,54,I0033510
15.25,66.75,33511,7,54,I0033511
15.75,66.75,33512,7,54,I0033512
22.25,66.75,33525,7,60,I0033525
22.75,66.75,33526,7,60,I0033526
23.25,66.75,33527,7,60,I0033527
23.75,66.75,33528,7,60,I0033528
24.25,66.75,33529,7,43,I0033529
24.75,66.75,33530,7,43,I0033530
25.25,66.75,33531,7,43,I0033531
